,max_strip,med_strip,x_pix,y_integ
214,169840733632.677,169079491408.18283,214,4696472151904.536
215,155261575243.8154,154531913327.13208,215,4328716927124.202
216,151076671437.451,150354640967.0819,216,4328482169578.509
217,156091247591.39474,155368797795.72357,217,4679925657659.798
218,168658590448.54047,167945391415.90405,218,5297197391330.495
219,186966043302.42117,186284616256.15814,219,6120594084314.619
220,209317933949.72992,208694607714.49078,220,7092317701757.275
221,234356399166.58035,233810277579.73715,221,8165658483140.781
222,261178794126.34506,260711825939.71698,222,9301015061769.2
223,289336766962.6518,288927510276.8682,223,10484097377434.467
224,318730712354.5428,318335001288.5709,224,11710176989289.705
225,349437427894.0471,348994388100.19965,225,12980845780276.232
226,381522842800.91876,380966331606.593,226,14286129100530.781
227,414892609378.2841,414165150265.84357,227,15617686925145.6
228,449221221315.7134,448286988328.4358,228,16986806032010.354
229,483978292992.82605,482831405007.80444,229,18382922757335.848
230,518544134545.83765,517210918509.2792,230,19802018751941.465
231,552382225059.0092,550914432411.4379,231,21227782078628.887
232,585219558004.7909,583680576665.1553,232,22656534782249.344
233,617181177525.928,615627526074.8258,233,24067603941271.58
234,648833813483.5449,647295793852.6978,234,25456987031023.805
235,681113551034.8993,679579116041.2264,235,26817671900164.316
236,715139470517.689,713546540243.9144,236,28143835643364.883
237,751943055452.5853,750180817408.418,237,29436642735945.594
238,792165515410.1886,790086654766.8561,238,30697002080200.75
239,835786795544.4852,833228824911.7861,239,31913738735384.594
240,881948060773.1863,878760298199.4884,240,33074238824737.67
241,928913930702.6838,924985082894.2324,241,34156123997536.914
242,974194732358.8154,969477262637.534,242,35129828021143.92
243,1014817852565.9337,1009342627616.5442,243,35955372412476.49
244,1047707369435.3127,1041586918908.1686,244,36594392704366.13
245,1070108733651.9998,1063527933731.0897,245,37010299381367.19
246,1079985001169.051,1073180561928.2374,246,37176510793600.45
247,1076315106553.6757,1069546935221.7981,247,37080036689999.29
248,1059242085707.2445,1052762482276.6714,248,36721707016585.29
249,1030046456053.3795,1024070337647.1106,249,36116745348864.58
250,990951644935.6476,985633687903.1882,250,35293271677220.055
251,944798151923.3212,940219858305.6974,251,34288187578343.08
252,894645293774.6483,890813416600.1178,252,33142555697071.27
253,843369849241.6301,840225278650.7052,253,31902192153727.28
254,793328084831.0706,790764103487.3627,254,30597495272989.523
255,746132584991.1473,744016855524.5704,255,29253508314524.18
256,702571484837.5885,700768929589.4668,256,27891358905516.688
257,662670140196.4478,661062587444.2158,257,26524940747035.89
258,625869490066.7166,624369232272.9509,258,25149419133139.254
259,591276248690.3535,589831750320.4706,259,23775673803083.53
260,557930893800.8802,556526043441.4661,260,22394675658044.49
261,525041312415.8054,523687586288.7567,261,21016064327403.125
262,492141775117.14545,490866996406.6265,262,19635882599458.418
263,459155582241.9267,457991699745.8458,263,18273369332344.062
264,426361042204.4093,425333466589.4712,264,16925047306815.6
265,394279947420.0301,393400023066.4859,265,15615629948128.176
266,363521634511.11993,362784423254.6022,266,14346425212152.81
267,334621685291.77856,334007021919.92786,267,13127807311380.766
268,307911766796.12823,307388915151.7114,268,11971497795842.105
269,283447227311.34863,282981352633.1537,269,10871296216357.883
270,261004471628.1963,260563279177.59607,270,9832847353224.355
271,240144208727.0084,239703003410.96127,271,8856045326884.488
272,220322788626.17517,219868262016.2416,272,7928874180035.4
273,201024726928.22693,200555169683.32275,273,7064680533086.123
274,181886671813.192,181410129880.66473,274,6274035414167.522
275,162786606153.5545,162317417369.02997,275,5601330285952.789
276,143880783057.64124,143435466600.14807,276,5077697969651.498
277,125582585897.95062,125175740021.37746,277,4655687703580.042
278,108489564615.56483,108131839150.79105,278,4336528649394.19
279,93274847707.9173,92971324207.66951,279,4124854560140.167
280,80565120353.00285,80315427537.56157,280,4024912004553.8643
281,70828512472.24608,70628049207.94824,281,4032426337582.375
282,64292235264.43071,64133985428.16041,282,4135596015718.3555
283,60902750136.790184,60778834772.454445,283,4319357641000.428
284,60332371921.391335,60236128250.96859,284,4560408880615.033
285,62027411226.00521,61953796914.039474,285,4833172528195.531
286,65285954076.16576,65231514920.2014,286,5112554305229.587
287,69349356351.39249,69311645534.62985,287,5374195677841.449
288,73490962743.96478,73467729478.22676,288,5597070989690.82
289,77088141999.68947,77076326521.66678,289,5765781445251.6
290,79668566900.49931,79664669160.4735,290,5870494632707.044
291,80928065377.72237,80927456855.04822,291,5906710109094.922
292,80718880996.79063,80718355956.34871,292,5874486419016.654
293,79025160839.76465,79021179316.00572,293,5778113853123.9
294,75919290280.71527,75910013286.36668,294,5621582671301.582
295,71521607014.21097,71507234242.42044,295,5411739146461.42
296,65965267931.45363,65948681778.48019,296,5153812698069.549
297,59371585645.58652,59357636639.57944,297,4852282335010.8125
298,51837933401.1703,51832582394.46767,298,4508631180100.609
299,43475192343.116234,43446262213.838264,299,4126142348392.6455
