UTDate,UTTime,ObjectName,IntegrationTimesec),Centralwavelength(micron),CalibratedNull,CalibratedNullError,CalibratedNullStatisticalError,CalibratedNullSystematicError,RawNull,RawNullError,SystemNull,SystemNullError,RejectedFrames(%),RA,DEC,ObjectAltitudedeg),Houranglefromobservation(hr),Seeing(arcsec),PWV,FPCRMSPiston,QualityFlag,ProjectID,Filename
2018-05-23,07:43:15.64,72_her,0.046,11.1100,0.005046,0.002085,0.001363,0.001579,0.017882,0.001294,0.012837,0.001636,28.49,17:20:39.565,32:28:03.677,78.5907000000,-0.8730070000,0.9432,4.880,0.0055835300,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:47:06.18,72_her,0.046,11.1100,0.000212,0.002848,0.002370,0.001579,0.013049,0.002331,0.012837,0.001636,22.65,17:20:39.566,32:28:03.679,79.4009000000,-0.8169420000,0.9252,4.880,0.0057342700,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:49:18.44,72_her,0.046,11.1100,-0.000403,0.011616,0.011508,0.001579,0.012433,0.011500,0.012837,0.001636,69.33,17:20:39.566,32:28:03.675,79.8646000000,-0.7439630000,0.9406,7.800,0.0054792000,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:53:58.98,72_her,0.046,11.1100,0.005633,0.002014,0.001250,0.001579,0.018470,0.001175,0.012837,0.001636,26.06,17:20:39.566,32:28:03.674,80.8508000000,-0.6986760000,0.9556,5.500,0.0058353500,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:57:20.35,72_her,0.046,11.1100,0.001515,0.004758,0.004489,0.001579,0.014352,0.004468,0.012837,0.001636,31.22,17:20:39.567,32:28:03.666,81.5579000000,-0.6358070000,0.9308,5.500,0.0057207400,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,10:08:31.58,61_cyg_a,0.046,11.1100,0.002470,0.001297,0.001258,0.000316,0.012836,0.001094,0.010366,0.000697,10.97,21:06:53.951,38:44:57.986,62.1352000000,-2.2222500000,0.9691,6.600,0.0066960600,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,10:11:40.45,61_cyg_a,0.046,11.1100,-0.006725,0.002377,0.002356,0.000316,0.003641,0.002273,0.010366,0.000697,59.94,21:06:53.952,38:44:57.991,62.7479000000,-1.7221700000,1.0515,5.440,0.0056577200,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,10:48:18.28,61_cyg_a,0.046,11.1100,-0.004358,0.002317,0.002295,0.000316,0.006008,0.002209,0.010366,0.000697,34.17,21:06:53.952,38:44:57.896,69.8508000000,-1.5556800000,1.1366,4.400,0.0056396300,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,10:50:58.61,61_cyg_a,0.046,11.1100,-0.004746,0.005075,0.005065,0.000316,0.005619,0.005027,0.010366,0.000697,28.75,21:06:53.948,38:44:58.023,70.3632000000,-1.4830100000,1.1844,4.400,0.0054650700,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,10:55:43.17,61_cyg_a,0.046,11.1100,0.011969,0.002856,0.002839,0.000316,0.022335,0.002770,0.010366,0.000697,21.71,21:06:53.952,38:44:57.976,71.2706000000,-1.4281500000,1.1052,4.840,0.0048210700,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,10:58:56.00,61_cyg_a,0.046,11.1100,-0.000735,0.002087,0.002062,0.000316,0.009631,0.001967,0.010366,0.000697,19.72,21:06:53.949,38:44:57.971,71.8816000000,-1.3581800000,1.1176,4.740,0.0053089400,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,11:07:22.89,61_cyg_a,0.046,11.1100,0.004115,0.002149,0.002126,0.000316,0.014481,0.002033,0.010366,0.000697,5.44,21:06:53.950,38:44:57.976,73.4782000000,-1.2423800000,1.0897,4.200,0.0051305900,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,11:09:59.52,61_cyg_a,0.046,11.1100,0.006073,0.002430,0.002409,0.000316,0.016438,0.002328,0.010366,0.000697,52.19,21:06:53.951,38:44:57.958,73.9666000000,-1.1947500000,1.1474,5.140,0.0050795500,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,11:12:57.66,61_cyg_a,0.046,11.1100,0.002109,0.001750,0.001721,0.000316,0.012475,0.001605,0.010366,0.000697,33.63,21:06:53.953,38:44:57.980,74.5203000000,-1.1426400000,1.1637,3.980,0.0050727400,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,11:15:38.29,61_cyg_a,0.046,11.1100,-0.011147,0.024105,0.024103,0.000316,-0.000781,0.024095,0.010366,0.000697,74.15,21:06:53.950,38:44:57.980,75.0158000000,-1.0591200000,1.1184,4.040,0.0052874700,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,11:20:26.11,61_cyg_a,0.046,11.1100,0.008611,0.003259,0.003244,0.000316,0.018976,0.003184,0.010366,0.000697,69.97,21:06:53.950,38:44:57.977,75.8960000000,-1.0205800000,1.2207,4.040,0.0054592700,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,11:23:27.75,61_cyg_a,0.046,11.1100,-0.006204,0.004007,0.003995,0.000316,0.004161,0.003946,0.010366,0.000697,4.01,21:06:53.951,38:44:57.972,76.4454000000,-0.9679500000,1.0752,4.040,0.0051055400,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:40:43.63,tet_boo,0.046,11.1100,0.001447,0.002369,0.002154,0.000987,0.012926,0.002130,0.011479,0.001037,2.74,14:25:11.795,51:51:02.672,70.9368000000,-0.0026241500,0.9546,5.560,0.0048534900,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:43:32.64,tet_boo,0.046,11.1100,-0.000642,0.004445,0.004334,0.000987,0.010837,0.004322,0.011479,0.001037,1.40,14:25:11.794,51:51:02.681,70.9368000000,0.0381303000,0.9518,4.280,0.0050936900,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:16:59.49,72_her,0.046,11.1100,0.011290,0.002417,0.001830,0.001579,0.024127,0.001780,0.012837,0.001636,32.82,17:20:39.567,32:28:03.684,73.0622000000,-1.3206300000,0.9524,5.640,0.0050220300,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,07:19:33.35,72_her,0.046,11.1100,0.010968,0.002313,0.001691,0.001579,0.023805,0.001635,0.012837,0.001636,15.50,17:20:39.565,32:28:03.686,73.6006000000,-1.2785800000,0.8858,5.220,0.0053506000,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:04:58.75,tet_boo,0.046,11.1100,0.005601,0.001332,0.000895,0.000987,0.017080,0.000836,0.011479,0.001037,6.47,14:25:11.795,51:51:02.679,69.7618000000,-0.6063970000,1.0745,6.660,0.0045423700,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:07:11.81,tet_boo,0.046,11.1100,0.004388,0.001671,0.001349,0.000987,0.015867,0.001310,0.011479,0.001037,4.06,14:25:11.796,51:51:02.668,69.8935000000,-0.5640450000,1.1315,6.660,0.0046530200,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:10:18.74,tet_boo,0.046,11.1100,0.006233,0.003609,0.003472,0.000987,0.017712,0.003457,0.011479,0.001037,1.48,14:25:11.795,51:51:02.683,70.0676000000,-0.5190120000,1.0994,7.560,0.0044774900,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:13:09.71,tet_boo,0.046,11.1100,0.001606,0.001402,0.000995,0.000987,0.013085,0.000943,0.011479,0.001037,3.79,14:25:11.795,51:51:02.676,70.2126000000,-0.4613390000,1.0968,6.180,0.0042792300,2,4,UT2018-05-23_calib_OB.fits
2018-05-23,05:15:55.15,tet_boo,0.046,11.1100,0.010045,0.002193,0.001958,0.000987,0.021524,0.001932,0.011479,0.001037,3.84,14:25:11.795,51:51:02.675,70.3422000000,-0.4089680000,1.0881,6.180,0.0047257600,2,4,UT2018-05-23_calib_OB.fits
